area,sub_area,project,status,url,coordinates,developer,architectural_consultant,piling_contractor,contractor,owner,project_manager,financier,cost_consultant,interior_designer,sustainability_consultant,mep_consultant,hotel_operator,engineering_consultant,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,construction_started,estimated_handover_date,revised_estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP001C,Under development,https://propsearch.ae/dubai/untitled-plot-jvc17tcp001c,"25°3 34.9""N 55°12 54.7""E",Orient Gate Real Estate,Al Khawajah Engineering Consultancy,,Al Badr Contracting,Othman Moahmed Sharif Abdullah Zaman,,,,,,,,,Residential building,JVC District 17,Under development,22,High-rise building,,,,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp001c-26359_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP001D,Under development,https://propsearch.ae/dubai/untitled-plot-jvc17tcp001d,"25°3 34.5""N 55°12 53.1""E",Sabita Agarwal,Abdul Rahim Architectural Consultants,,,,,,,,,,,,Residential building,JVC District 17,Under development,20,High-rise building,,,,,,,,update April 2017,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc17tcp001d-9537_xl.jpg
Jumeirah Village Circle,JVC District 18,Untitled Plot JVC18TCP010D,Under development,https://propsearch.ae/dubai/untitled-plot-jvc18tcp010d,"25°3 10.1""N 55°11 59.4""E",Orient Gate Real Estate,Al Khawajah Engineering Consultancy,,Al Badr Contracting,Mishal Saleh S Alardi,,,,,,,,,Residential building,JVC District 18,Under development,20,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc18tcp010d-26436_xl.jpg
Jumeirah Village Circle,JVC District 18,Untitled Plot JVC18TCP018A,Under development,https://propsearch.ae/dubai/untitled-plot-jvc18tcp018a,"25°3 21.8""N 55°12 0.5""E",Mimosa Investments Limited,LACASA Architects & Engineering Consultants,MNG Zemtas,,,,,,,,,,,Residential building,JVC District 18,Under development,24,High-rise building,,,1,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc18tcp018a-21895_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitle Plot JVC10ACVIL010,Under development,https://propsearch.ae/dubai/untitle-plot-jvc10acvil010,"25°3 56.7""N 55°12 21.3""E",,Creative Line Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 10,Under development,2,Low-rise building,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/untitle-plot-jvc10acvil010-7026_xl.jpg
Jumeirah Village Circle,JVC District 11,Vertmont Tower,Under development,https://propsearch.ae/dubai/vertmont-tower,"25°3 30.9""N 55°12 37.1""E",,Pioneers of Experts,,,,,,,,,,,,Residential building,JVC District 11,Under development,26,Skyscraper,,,,2015,2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/vertmont-tower-26325_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12WHRA001,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12whra001,"25°3 26.7""N 55°12 47.1""E",Alpha Data,,,Gulf Asia Contracting,,,,,,GlobalTech Safety & Environmental Consultancy,,,Eng. Adnan Saffarini,Residential building,JVC District 12,Under development,35,Skyscraper,,,,,2019,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12whra001-26398_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12PHRS004,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12phrs004,"25°3 25.3""N 55°13 13.2""E",Mr Bashar Mohd Taiseer Samha,Cubic Engineering Consultancy,Stromek Emirates Foundations,,,,,,,,,,,Residential building,JVC District 12,Under development,25,Skyscraper,,,,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12phrs004-26371_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12NHRS005,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12nhrs005,"25°3 19.4""N 55°13 13.2""E",Suliman Essop Dockrat,Mimar Emirates Engineering Consultants,,Al Zamalek General Contracting,,,,,,,,,,Residential building,JVC District 12,Under development,25,Skyscraper,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12nhrs005-26372_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12LMRP004,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12lmrp004,"25°3 10.8""N 55°13 4.9""E",Watan Properties Development LLC,Atrium Architectural & Engineering Consultancy,,,,,,,,,,,,Residential building,JVC District 12,Under development,5,Mid-rise building,,,,2017,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12lmrp004-22090_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12GMRP004,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12gmrp004,"25°3 10""N 55°12 56.1""E",Al Nahda International LLC,Atrium Architectural & Engineering Consultancy,,,,,,,,,,,,Residential building,JVC District 12,Under development,6,Mid-rise building,,,,2017,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12gmrp004-26393_xl.jpg
Jumeirah Village Circle,JVC District 12,Untitled Plot JVC12AMRA002,Under development,https://propsearch.ae/dubai/untitled-plot-jvc12amra002,"25°3 17.9""N 55°12 41.1""E",Vitaliy Chebanov,Arec Engineering Consult,,Grans Contracting,,,,,,GlobalTech Safety & Environmental Consultancy,,,,Residential building,JVC District 12,Under development,5,Mid-rise building,,,1,2019,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc12amra002-26395_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11YMRA007,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11ymra007,"25°3 34.7""N 55°12 36.8""E",Tiger Properties,Design Center,Rabat Foundation,Tiger International General Contracting,,,,,,,,,,Residential building,JVC District 11,Under development,5,Mid-rise building,,,2,2016,2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11ymra007-26323_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11YHRG001C,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11yhrg001c,"25°3 31.8""N 55°12 32.2""E",,Pioneers of Experts,Geo Foundation Group,Dubai Walls Constructions,,,,,,,,,GlobalTech Safety & Environmental Consultancy,Residential building,JVC District 11,Under development,,,,,,,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11yhrg001c-26318_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11TMRP200,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11tmrp200,"25°3 52.5""N 55°12 46.4""E",SS Lootah,Port Saeed Engineering,,SS Lootah Contracting,,,,,,,,,,Residential building,JVC District 11,Under development,6,Mid-rise building,,,1,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11mrp200-21591_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11RFRP005,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11rfrp005,"25°3 40.8""N 55°12 58.8""E",AE Developments,ANT Engineering Consultants,,K&D International Contracting,,,,,,,,,,Residential building,JVC District 11,Under development,3,Low-rise building,,,,2018,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11rfrp005-26350_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11RFRP003,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11rfrp003,"25°3 59.9""N 55°12 43""E",Rashid Murad Taher Al Balooshi,,,,,,,,,,,,,Townhouse row,JVC District 11,Under development,3,Low-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11rfrp003-26340_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11MOHR003A,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11mohr003a,"25°3 54.7""N 55°13 3.2""E",Talal Mir Abdul Qader Ahmed Khoori,,,,,,,,,,,,,Residential building,JVC District 11,Under development,25,Skyscraper,,,,2017,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11mohr003a-26347_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11HMRP003,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11hmrp003,"25°3 48.9""N 55°13 0.2""E",Al Jadeed Holding Limited,Eng. Adnan Saffarini,,Dubai Walls Constructions,,,,,,,,,,Residential building,JVC District 11,Under development,6,Mid-rise building,,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11hmrp003-26348_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11EFRP004,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11efrp004,"25°3 40.4""N 55°12 57.4""E",AE Developments,ANT Engineering Consultants,,K&D International Contracting,,,,,,,,,,Residential building,JVC District 11,Under development,3,Low-rise building,,,,2018,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11efrp004-26356_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11CCMRM006,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11ccmrm006,"25°4 3.2""N 55°12 42.6""E",The Family Group Limited,Al Khawajah Engineering Consultancy,,Dubai Walls Constructions,,,,,,,,,,Residential building,JVC District 11,Under development,14,High-rise building,,,2,2017,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11ccmrm006-26341_xl.jpg
Jumeirah Village Circle,JVC District 11,Untitled Plot JVC11AMRH009,Under development,https://propsearch.ae/dubai/untitled-plot-jvc11amrh009,"25°3 51""N 55°12 36.1""E",,Federal Engineering Consultants,,,Al Dhaheri Tanios Nemer Saliba,,,,,,,,,Residential building,JVC District 11,Under development,18,High-rise building,,,,2017,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc11amrh009-21690_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10YMRP002,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10ymrp002,"25°3 43.4""N 55°12 14.7""E",,Safeer Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,,2015,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10ymrp002-21878_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13GMRP005,Under development,https://propsearch.ae/dubai/untitled-plot-jvc13gmrp005,"25°3 4.2""N 55°12 32.1""E",Dr Samih Bakri Tarabichi,CVTEC Consulting Engineers,,,,,,,,,,,,Hotel apartments building,JVC District 13,Under development,5,Mid-rise building,,,,2015,2015,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13gmrp005-26414_xl.jpg
Jumeirah Village Circle,JVC District 13,La Belle Vue,Under development,https://propsearch.ae/dubai/la-belle-vue,"25°3 6.5""N 55°12 40.5""E",Byblos Real Estate,Qasba Engineering Consultancy,,Suhaib Contracting,,,,,,,,,,Townhouse row,JVC District 13,Under development,3,Low-rise building,,,,,2015,,,update January 2021,https://static.propsearch.ae/dubai-locations/la-belle-vue-26389_xl.jpg
Jumeirah Village Circle,JVC District 11,Khyber Investments Building,Under development,https://propsearch.ae/dubai/khyber-investments-building,"25°4 3.2""N 55°12 48.8""E",,,,,,,,,,,,,,Residential building,JVC District 11,Under development,18,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/khyber-investments-building-26343_xl.jpg
Jumeirah Village Circle,JVC District 15,JVC15BMRM004,Under development,https://propsearch.ae/dubai/jvc15bmrm004,"25°3 38.5""N 55°12 7.1""E",Mohammad Haroon Abdulhabib,Chawla Architectural & Consulting Engineers,,,,,,,,,,,,Residential building,JVC District 15,Under development,13,High-rise building,,,,2016,Q1 2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/jvc15bmrm004-26460_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14EFRP004,Under development,https://propsearch.ae/dubai/untitled-plot-jvc14efrp004,"25°3 2.8""N 55°12 7.7""E",,Design House Engineering Consultancy,,Memaar Construction LLC,,,,,,,,,,Townhouse row,JVC District 14,Under development,3,Low-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14efrp004-26434_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14BMRA700,Under development,https://propsearch.ae/dubai/untitled-plot-jvc14bmra700,"25°3 14.9""N 55°12 15.5""E",,,,,,,,,,,,,,Building,JVC District 14,Under development,,,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14bmra700-26442_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13RMRA003,Under development,https://propsearch.ae/dubai/untitled-plot-jvc13rmra003,"25°3 11.8""N 55°12 38""E",,Mohammad Assem Al Khatib Engineering Consultants,,Ali Al Tamimi Contracting LLC,Mr Jawdat Musa Al Halabi,,,,,,,,,Residential building,JVC District 13,Under development,6,Mid-rise building,,,1,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13rmra003-26404_xl.jpg
Jumeirah Village Circle,JVC District 13,Untitled Plot JVC13PMRA008,Under development,https://propsearch.ae/dubai/untitled-plot-jvc13pmra008,"25°3 10.1""N 55°12 40.3""E",Shaheen Abdulrahman Shaal Kuwari,Eng. Adnan Saffarini,,,,,,,,,,,,Residential building,JVC District 13,Under development,5,Mid-rise building,,,1,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc13pmra008-26402_xl.jpg
Jumeirah Village Circle,JVC District 17,Central Park Tower,Under development,https://propsearch.ae/dubai/central-park-tower,"25°3 26.3""N 55°12 57.6""E",Raj Singh,Prime Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 17,Under development,25,Skyscraper,,,,2017,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/central-park-tower-22061_xl.jpg
